Hi.	Salut!
I prefer a hotel by the airport.	Je préfère un hôtel proche de l'aéroport.
I read a lot of books in French.	Je lis beaucoup de livres en français.
I really appreciate your coming.	J'apprécie vraiment que tu sois venu.
I really want you to believe me.	Je veux vraiment que tu me croies.
I regret spending so much money.	Je regrette avoir dépensé autant d'argent.
I remember seeing you last year.	Je me rappelle vous avoir vues l'année passée.
I respect you and your opinions.	Je te respecte, toi et tes opinions.
I saw a boy crossing the street.	Je vis un garçon traverser la rue.
I saw you in the park yesterday.	Je t'ai vue au parc, hier.
I see that dog almost every day.	Je vois le chien presque tous les jours.
I should've known it was a scam.	J'aurais dû savoir que c'était une arnaque.
I still plan to do that someday.	J'envisage toujours de faire ça un jour.
I support you a hundred percent.	Je te soutiens à cent pour cent.
I sure am glad you weren't hurt.	Je me réjouis certainement que tu n'aies pas été blessé.
I think I'll snooze for a while.	Je pense que je vais somnoler un moment.
I think Tom is pulling your leg.	Je pense que Tom te fait marcher.
I think maybe that was my fault.	Je pense que c'était peut-être de ma faute.
I think that's what's happening.	Je pense que c'est ce qui est en train d'arriver.
I think we should all go inside.	Je pense que nous devrions tous aller à l'intérieur.
I think you have made a mistake.	Je pense que vous avez fait une erreur.
I think you'll enjoy this movie.	Je pense que vous apprécierez le film.
I thought Tom was still at home.	Je pensais que Tom était encore à la maison.
I thought that you'd understand.	Je pensais que tu comprendrais.
I thought you'd seen this movie.	Je pensais que vous aviez vu ce film.
I told them they shouldn't move.	Je leur dis qu'ils ne devaient pas bouger.
I told you to stay in the house.	Je vous ai dit de rester dans la maison.
I turned in my report yesterday.	J'ai rendu mon rapport hier.
I want a match. Do you have one?	Je veux une allumette. En as-tu une ?
I want to be in your life again.	Je veux être de nouveau dans ta vie.
I want to know who started this.	Je veux savoir qui a commencé ceci.
I want to speak to your manager.	Je veux parler à votre supérieur.
I want you to keep your promise.	Je veux que tu tiennes ta promesse.
I wanted to sell Tom my old car.	Je voulais vendre ma vieille voiture à Tom.
I was impressed with what I saw.	J'ai été impressionné par ce que j'ai vu.
I was quite at a loss for words.	Je suis resté bouche bée.
I was very rich until I met her.	J'étais très riche, jusqu'à ce que je la rencontre.
I wasn't the one who kissed Tom.	Ce n'était pas moi qui avait embrassé Tom.
I went through a lot of trouble.	J'ai été confronté à divers problèmes.
I will come, weather permitting.	Je viendrai, si le temps le permet.
I will show you around the city.	Je vous montrerai la ville.
I wish I knew what I should say.	J'aimerais savoir ce que je devrais dire.
I wish you could stay the night.	J'aimerais que tu puisses rester pour la nuit.
I won't tell you why I did that.	Je ne vous dirai pas pourquoi j'ai fait ça.
I wonder if you are truly happy.	Je me demande si vous êtes vraiment heureux.
I wonder who started that rumor.	Je me demande qui a lancé cette rumeur.
I would like to meet his father.	Je voudrais rencontrer son père.
I wrote three letters yesterday.	J'ai écrit trois lettres hier.
I'd like to reconfirm my flight.	J'aimerais reconfirmer mon vol.
I'd like you to meet my husband.	J'aimerais que tu rencontres mon époux.
I'd never seen anything like it.	Je n'avais jamais vu quelque chose comme ça.
I'll be back before you know it.	Je serai de retour en un rien de temps.
I'll be waiting for you outside.	Je vous attendrai dehors.
I'll find friends wherever I go.	Je trouverai des amis où que j'aille.
I'll give you anything but this.	Je te donnerai tout sauf ça.
I'll not be at home next Sunday.	Je ne serai pas chez moi dimanche prochain.
I'll take it into consideration.	J'y réfléchirai.
I'm afraid it's not a good idea.	Je crains que ce ne soit pas une bonne idée.
I'm considering going with them.	Je réfléchis à aller avec eux.
I'm getting a lot of complaints.	Je reçois de nombreuses plaintes.
I'm going to ask for a new desk.	Je vais demander un nouveau bureau.
I'm going to take that as a yes.	Je vais prendre ça comme un oui.
I'm just as confused as you are.	Je suis aussi perplexe que tu l'es.
I'm looking for a place to live.	Je cherche un endroit où vivre.
I'm not a hundred percent wrong.	Je ne me suis pas trompé à cent pour cent.
I'm not going to argue with you.	Je ne vais pas me disputer avec vous !
I'm not going to worry about it.	Je ne vais pas m'en inquiéter.
I'm not prepared to do that yet.	Je ne suis pas encore prêt à faire cela.
I'm not sure how to answer this.	Je ne suis pas sûr de la manière avec laquelle répondre à ça.
I'm not used to living here yet.	Je ne suis pas encore habituée à vivre ici.
I'm pretty sure Tom's competent.	Je suis assez sûr que Tom est compétent.
I'm satisfied with his progress.	Je suis satisfait de ses progrès.
I'm sorry to have disturbed you.	Je suis désolée de t'avoir dérangé.
I'm sorry, but the answer is no.	Je suis désolé, mais la réponse est "Non!".
I'm sure Tom doesn't think that.	Je suis sûre que Tom ne pense pas cela.
I'm sure this is only temporary.	Je suis certaine que ce n'est que temporaire.
I'm tired and I want to go home.	Je suis fatigué et je veux rentrer chez moi.
I'm usually not here on Mondays.	Je ne suis généralement pas là le lundi.
I'm waiting for your assistance.	J'attends ton aide.
I've been alone for a long time.	Je suis seule depuis longtemps.
I've come a long way to see you.	J'ai parcouru un long chemin pour vous voir.
I've enjoyed reading this novel.	Ce roman m'a bien plu.
I've got a big surprise for you.	J'ai une grande surprise pour vous.
I've had enough of your excuses.	J'en ai assez de tes excuses.
I've never regretted doing that.	Je n'ai jamais regretté avoir fait cela.
I've seen your driver's license.	J'ai vu votre permis de conduire.
If I were you, I wouldn't do it.	Si j'étais vous, je ne le ferais pas.
If it gets boring, I'll go home.	Si ça devient ennuyeux, j'irai chez moi.
If you need help, I'll help you.	Si vous avez besoin d'aide, je vous aiderai.
In fact, she's quite unreliable.	En fait, on ne peut pas compter sur elle.
Is everybody ready for the trip?	Est-ce que tout le monde est prêt pour le voyage?
Is that supposed to cheer me up?	Est-ce que c'est censé me donner du baume au cœur ?
Is there an information counter?	Y a-t-il un comptoir d'information ?
It began to rain in the evening.	Il commença à pleuvoir dans la soirée.
It is difficult for me to skate.	Il m'est difficile de patiner.
It is really quite a good story.	C'est vraiment une assez bonne histoire.
It looks like you came prepared.	On dirait que tu es venu préparé.
It must be difficult to do that.	Ça doit être difficile à faire.
It was a bitter pill to swallow.	C'était une amère pilule à avaler.
It was shorter than he expected.	Ce fut plus court que ce à quoi il s'attendait.
It would be nice to get married.	Ça serait chouette de vous marier.
It's a pity that you can't come.	Il est dommage que vous ne puissiez pas venir.
It's an art more than a science.	Il s'agit davantage d'un art que d'une science.
It's hard to take you seriously.	C'est dur de te prendre au sérieux.
It's not an either-or situation.	Ce n'est pas un dilemme.
It's warm for this time of year.	Il fait chaud pour la saison.
Keep your hands above the table.	Laisse tes mains au-dessus de la table.
Laughing is really good for you.	Rire est vraiment bon pour toi.
Let me introduce you to my wife.	Laissez-moi vous présenter ma femme.
Let's be honest with each other.	Soyons honnêtes l'une avec l'autre.
Let's have a glass of champagne.	Buvons une coupe de champagne.
Let's not talk about this today.	Ne parlons pas de ceci aujourd'hui.
Letters are delivered every day.	Le courrier est distribué chaque jour.
Look at the picture on the wall.	Regardez l'image sur le mur.
Marimbas are made from rosewood.	Les marimbas sont faits de palissandre.
Mary was wearing men's clothing.	Mary portait des vêtements d'homme.
May I eat another piece of cake?	Puis-je manger une autre part de gâteau ?
Meanwhile, you can stay with us.	En attendant, vous pouvez rester avec nous.
My English is anything but good.	Mon anglais est tout sauf bon.
My brother is a college student.	Mon frère est étudiant.
My employees are waiting for me.	Mes employés m'attendent.
My friend is a talkative person.	Mon ami parle beaucoup.
My heart was filled with sorrow.	Mon cœur était rempli de chagrin.
My idea is different from yours.	Mon opinion se distingue de la tienne.
My mother made a sweater for me.	Ma mère m'a confectionné un pull-over.
My opinion is the same as yours.	Mon opinion est la même que la tienne.
My sister is a very good typist.	Ma sœur est une très bonne dactylo.
My wife wanted to adopt a child.	Mon épouse voulait adopter un enfant.
Night is when most people sleep.	C'est la nuit que la plupart des gens dorment.
No one lets me have fun anymore.	Personne ne me laisse plus m'amuser.
Nobody had anything else to say.	Personne n'avait autre chose à dire.
Now it's time to say good night.	Maintenant c'est l'heure de dire bonne nuit.
One of my horses died yesterday.	Un de mes chevaux est mort hier.
Ottawa is the capital of Canada.	Ottawa est la capitale du Canada.
People are very hospitable here.	Les gens sont très hospitaliers ici.
Please call the fire department.	S'il vous plaît appelez les pompiers.
Please excuse me for being rude.	Excusez ma rudesse, s'il vous plaît.
Please go up to the third floor.	Montez au 3e étage s'il vous plait.
Please say hello to your family.	Dis bonjour à ta famille, s'il te plaît.
Poverty is the root of all evil.	La pauvreté est à la racine de tout mal.
Promise me that you'll help Tom.	Promettez-moi que vous aiderez Tom.
See you tomorrow in the library.	On se voit demain à la bibliothèque.
She advised him to see a lawyer.	Elle lui conseilla de voir un avocat.
She argued with him about money.	Elle se disputa avec lui sur une question d'argent.
She attacked him with her fists.	Elle l'attaqua à coups de poings.
She committed suicide yesterday.	Elle s'est suicidée hier.
She demanded to see the manager.	Elle exigea de voir l'imprésario.
She eats nothing but vegetables.	Elle ne mange que des légumes.
She felt her heart beat quickly.	Elle sentit son cœur s'affoler.
She gazed at me for a long time.	Elle m'a regardé fixement pendant longtemps.
She had the kindness to help me.	Elle a eu la gentillesse de m'aider.
She hired him as an interpreter.	Elle l'engagea en tant qu'interprète.
She is anxious about her safety.	Elle est inquiète pour sa sécurité.
She is looking for her car keys.	Elle cherche les clés de sa voiture.
She kissed away the boy's tears.	Elle effaça les larmes du garçon de ses baisers.
She looked him right in the eye.	Elle l'a regardé droit dans les yeux.
She majors in organic chemistry.	Elle se spécialise en chimie organique.
She put her elbows on her knees.	Elle posa les coudes sur les genoux.
She sang a Japanese song for us.	Elle nous a chanté une chanson japonaise.
She spent all afternoon cooking.	Elle a passé toute l'après-midi à cuisiner.
She told him that she was happy.	Elle lui a dit qu'elle était heureuse.
She tried in vain to please him.	Elle a essayé en vain de lui faire plaisir.
She was afraid to make a speech.	Elle avait peur de faire un discours.
She was sticking her tongue out.	Elle tirait la langue.
She will have a baby next month.	Elle va avoir un bébé le mois prochain.
She's asking for the impossible.	Elle demande l'impossible.
Show me how much money you have.	Montre-moi combien d'argent tu as.
Slaves were considered property.	Les esclaves étaient considérés comme des biens.
Some people think that I'm nuts.	Certaines personnes pensent que je suis fou.
Someone has stolen all my money.	Quelqu'un m'a volé tout mon argent.
Something did happen, didn't it?	Quelque chose s'est passé, pas vrai ?
Stay here all night if you want.	Reste ici toute la nuit, si tu veux.
Sweat is dripping from his face.	La sueur dégouline de son visage.
Tell me where to send the files.	Dites-moi où envoyer les fichiers.
Thank you for doing that for me.	Merci de le faire à ma place.
Thanks very much for doing this.	Merci beaucoup de faire ceci.
That has nothing to do with him.	Ça n'a rien à voir avec lui.
That man looks vaguely familiar.	Cet homme m'a l'air vaguement familier.
That should never have happened.	Cela ne devrait jamais se produire.
That work was done very quickly.	Ce boulot a été fait très rapidement.
That's exactly what I was doing.	C'est exactement ce que j'étais en train de faire.
That's not the end of the story.	Ce n'est pas la fin de l'histoire.
That's not your problem anymore.	Ce n'est plus ton problème.
That's the safest way, isn't it?	C'est le moyen le plus sûr, n'est-ce pas ?
That's why I'm giving it to you.	C'est pour cela que je vous la donne.
The baby cannot use a spoon yet.	Le bébé ne sait pas encore se servir d'une cuillère.
The boss said that we are fired.	Le patron a dit que nous sommes virés.
The car is not illegally parked.	La voiture n'est pas garée de manière illicite.
The conclusion is crystal clear.	La conclusion est limpide.
The dressing room is over there.	Le vestiaire est par là.
The factory produces ammunition.	L'usine fabrique des munitions.
The guys are playing basketball.	Les gars jouent au basket-ball.
The last train has already gone.	Le dernier train est déjà parti.
The man's behavior was very odd.	Le comportement de ce type était très étrange.
The movie wasn't all that great.	Le film n'était pas si génial.
The old couple sat side by side.	Le vieux couple était assis côte-à-côte.
The plane flew above the clouds.	L'avion volait au-dessus des nuages.
The police want to question you.	La police veut te poser des questions.
The rent is paid for six months.	Le loyer est payé pour six mois.
The same thing happened in 2013.	La même chose s'est produite en 2013.
The storm caused a power outage.	La tempête a provoqué une panne d'électricité.
The teachers teach all day long.	Les professeurs enseignent toute la journée.
The train came to a smooth stop.	Le train s'arrêta en douceur.
The virus is starting to mutate.	Le virus commence à muter.
There are many shrines in Kyoto.	Il y a de nombreux sanctuaires de Kyoto.
There is a windmill on the hill.	Il y a un moulin à vent sur la colline.
There may be some truth to this.	Il y a peut-être là quelque verité.
There's a big hole in your sock.	Il y a un gros trou dans votre chaussette.
There's nothing to be scared of.	Il n'y a pas de quoi être effrayé.
There's something I want to try.	Il y a quelque chose que je veux tenter.
These boxes are made of plastic.	Ces boîtes sont faites en plastique.
They abandoned the sinking ship.	Ils abandonnèrent le navire en train de couler.
They accused me of being a liar.	Elles m'ont accusé d'être un menteur.
They all laughed at their error.	Elles rirent toutes de leur erreur.
They are jealous of our success.	Elles sont jalouses de notre succès.
They come from the same country.	Ils proviennent du même pays.
They didn't expect me to refuse.	Elles ne s'attendaient pas à ce que je refuse.
They forgave him for his crimes.	Ils lui pardonnèrent ses crimes.
They have access to the library.	Ils ont accès à la bibliothèque.
They moved here three years ago.	Ils ont déménagé ici il y a trois ans.
They tied the thief to the tree.	Ils ont attaché la voleuse à l'arbre.
They wash their hands with soap.	Ils se lavent les mains avec du savon.
This bed is way too soft for me.	Ce lit est bien trop mou pour moi.
This computer runs on batteries.	Cet ordinateur fonctionne grâce à une batterie.
This is a very nutritious lunch.	C'est un déjeuner très nourrissant.
This is my first time in Boston.	C'est ma première fois à Boston.
This letter is addressed to you.	Cette lettre vous est adressée.
This one is as good as that one.	Celui-ci est aussi bien que celui-là.
This sentence contains an error.	Il y a une faute dans cette phrase.
This text is aimed at beginners.	Ce texte est destiné aux débutantes.
This will make a big difference.	Ceci fera une grosse différence.
Today is our last day of school.	Aujourd'hui est notre dernier jour d'école.
Tom and I are in the same class.	Tom et moi sommes dans la même classe.
Tom and Mary have been drinking.	Tom et Marie ont bu.
Tom bought a book about cameras.	Tom a acheté un livre sur les appareils photo.
Tom carried his son on his back.	Tom a porté son fils sur son dos.
Tom could've hurt himself today.	Tom aurait pu se blesser aujourd'hui.
Tom didn't have anything to say.	Tom n'avait rien à dire.
Tom didn't tell Mary his secret.	Tom n'a pas dit à Marie son secret.
Tom doesn't take criticism well.	Tom a du mal à accepter les critiques.
Tom finished washing the dishes.	Tom a fini de laver la vaisselle.
Tom hadn't seen Mary in a while.	Tom n'avait pas vu Marie depuis un moment.
Tom has been acting weird today.	Tom s'est conduit de manière étrange aujourd'hui.
Tom has only one week to decide.	Tom n'a qu'une semaine pour décider.
Tom has to go back to Australia.	Tom doit retourner en Australie.
Tom hurried out of the building.	Tom se précipita hors du bâtiment.
Tom is always trying to be cool.	Tom essaye toujours d'être cool.
Tom is hiding something from us.	Tom nous cache quelque chose.
Tom is someone I really respect.	Tom est quelqu'un que je respecte vraiment.
Tom is very organized, isn't he?	Tom est très organisé, n'est-ce pas ?
Tom just wants to be left alone.	Tom veut juste qu'on le laisse seul.
Tom lacks confidence in himself.	Tom manque de confiance en lui.
Tom looked really uncomfortable.	Tom ne semblait pas du tout à l'aise.
Tom opened the trunk of the car.	Tom a ouvert le coffre de la voiture.
Tom promised to take me fishing.	Tom a promis de m'emmener pêcher.
Tom refused to tell us anything.	Tom refusa de nous dire quoi que ce soit.
Tom says he has nothing to hide.	Tom dit qu'il n'a rien à cacher.
Tom shouldn't have married Mary.	Tom n'aurait pas dû épouser Marie.
Tom still wants you to help him.	Tom veut tout de même que vous l'aidiez.
Tom thought that you were drunk.	Tom pensait que vous étiez ivre.
Tom took a taxi to the hospital.	Tom a pris un taxi pour aller à l'hôpital.
Tom wants to start from scratch.	Tom veut recommencer à zéro.
Tom was late again this morning.	Tom était à nouveau en retard ce matin.
Tom wasn't his usual self today.	Tom n'était pas dans son état normal aujourd’hui.
Tom will be in Boston next year.	Tom sera à Boston l'année prochaine.
Tom's grandfather couldn't read.	Le grand-père de Tom ne savait pas lire.
Turkey was stronger than Greece.	La Turquie a été plus forte que la Grèce.
Very little is known about them.	Ils sont mal connus.
War may break out at any moment.	La guerre pourrait éclater à tout moment.
We asked him what he was called.	Nous lui demandâmes comment il s'appelait.
We can depend on her to help us.	Nous pouvons nous fier à elle pour nous aider.
We decorated the room ourselves.	Nous avons décoré la pièce nous-mêmes.
We had a lot of rain last month.	On a eu beaucoup de pluie le mois dernier.
We have a long trip ahead of us.	Nous avons un long voyage devant nous.
We have to get Tom out of there.	Nous devons sortir Tom de là.
We hit it off right off the bat.	On s'est bien entendu dès le départ.
We look up to Tom as our leader.	On respecte Tom en tant que notre chef.
We must think of something else.	Nous devons réfléchir à autre chose.
We often talk about the weather.	Nous parlons souvent du temps.
We should do something about it.	Nous devrions faire quelque chose à ce propos.
We thought that would be enough.	Nous pensions que ce serait assez.
We went back to the living room.	Nous sommes revenus dans le salon.
We were married for three years.	Nous avons été mariés pendant trois ans.
We'll find out in just a minute.	Nous allons le découvrir dans une minute.
We'll take part in the marathon.	Nous participerons au marathon.
We're competitors, not partners.	Nous sommes concurrents, pas partenaires.
We're hoping to open in October.	Nous espérons ouvrir en octobre.
We're very different, you and I.	Nous sommes très différents, toi et moi.
We've decided to take that risk.	Nous avons décidé de prendre ce risque.
Were you happy with the results?	Étiez-vous satisfaits des résultats ?
What are you doing in my office?	Que fais-tu dans mon bureau ?
What are you punishing them for?	Pour quoi les punissez-vous ?
What color did Tom dye his hair?	De quelle couleur Tom s'est-il teint les cheveux ?
What did you see in the kitchen?	Qu'avez-vous vu dans la cuisine ?
What do you do in the afternoon?	Que faites-vous l'après-midi ?
What do you think they're after?	Après quoi en ont-ils, selon vous ?
What else have you got going on?	Qu'as-tu d'autre en train ?
What happened to all that money?	Qu'est-il advenu de tout cet argent ?
What kind of shampoo do you use?	Quel type de shampoing utilises-tu ?
What shall I do with her letter?	Que dois-je faire de sa lettre ?
What time is your plane landing?	À quelle heure atterrit ton avion ?
What would life be without hope?	Que serait la vie sans espoir ?
What's all the excitement about?	Qu'est-ce que c'est que ce vacarme ?
What's the purpose of your trip?	Quel est le but de votre voyage ?
What's your most expensive wine?	Quel est votre vin le plus cher ?
When did you visit your friends?	Quand as-tu rendu visite à tes amies ?
Where did I put my battery pack?	Où ai-je mis ma farde de batterie ?
Where do you think we came from?	D'où pensiez-vous que nous étions ?
Where in Australia are you from?	De quel coin de l'Australie viens-tu ?
Where would you like to go next?	Où aimeriez-vous aller ensuite ?
Where's the nearest supermarket?	Où est le supermarché le plus proche ?
Who are you selling your car to?	À qui vendez-vous votre voiture ?
Who told you you had to do that?	Qui t'a dit que tu devais faire ça ?
Who's your favorite song writer?	Quel est ton compositeur préféré ?
Why are you so hard on yourself?	Pourquoi es-tu si dur avec toi-même ?
Why couldn't you come yesterday?	Pourquoi n'as-tu pas pu venir hier ?
Why did you stay home yesterday?	Pourquoi es-tu resté chez toi, hier ?
Why didn't you go to the police?	Pourquoi n'êtes-vous pas allées voir la police ?
Why do you have to be like that?	Pourquoi vous faut-il être ainsi ?
Why does catnip drive cats nuts?	Pourquoi l'herbe à chats rend-elle les chats fous ?
Why don't you have a girlfriend?	Pourquoi n'as-tu pas de nana ?
Why hasn't anyone said anything?	Pourquoi personne n'a rien dit ?
Will you please show me the way?	Voulez-vous me montrer le chemin, je vous prie ?
Words cannot convey my feelings.	Je ne peux exprimer ce que je ressens avec des mots.
Would you like something to eat?	Veux-tu manger quelque chose ?
Would you like to go for a walk?	Cela vous chanterait-il de faire une promenade ?
Would you like to see the plans?	Aimerais-tu voir les plans ?
Would you mind closing the door?	Pourrais-tu refermer la porte ?
Would you mind waiting a minute?	Pourriez-vous attendre une minute ?
Yesterday, he told me the truth.	Il m'a dit la vérité hier.
You are twice as strong as I am.	Tu es deux fois plus forte que moi.
You came at just the right time.	Tu es venue juste au bon moment.
You can rent a boat by the hour.	On loue les bateaux à l'heure.
You can't break the appointment.	Tu ne peux pas rompre le rendez-vous.
You can't just sit here all day.	Tu ne peux pas simplement être assis là toute la journée.
You do your thing, I'll do mine.	Tu fais ton truc, je ferai le mien.
You don't need to come so early.	Il ne vous est pas nécessaire de venir si tôt.
You don't sound very optimistic.	À vous entendre, vous n'avez pas l'air très optimiste.
You had better take an umbrella.	Tu ferais mieux de prendre un parapluie.
You have to protect your family.	Tu dois protéger ta famille.
You know I'm older than you are.	Tu sais que je suis plus vieille que toi.
You may invite whoever you like.	Tu peux inviter qui tu veux.
You must obey the traffic rules.	Tu dois obéir aux règles de circulation.
You must've had a very hard day.	Vous avez dû avoir une journée très difficile.
You owe it to yourself to do it.	Tu te dois de le faire.
You said there was an emergency.	Tu as dit qu'il y avait urgence.
You should conform to the rules.	Tu devrais te conformer aux règles.
You should lower your standards.	Vous devriez abaisser vos prétentions.
You should talk to a specialist.	Tu devrais t'adresser à un spécialiste.
You stick out like a sore thumb.	Vous ne passez pas inaperçu !
You told me not to tell anybody.	Vous m'avez dit de ne le dire à personne.
You were terrified, weren't you?	Vous étiez terrifiée, n'est-ce pas ?
You won't be the only one there.	Vous ne serez pas le seul là-bas.
You'll feel better after a bath.	Tu te sentiras mieux après un bain.
You'll understand it right away.	Tu vas le comprendre tout de suite.
You're disappointed, aren't you?	Tu es déçu, n'est-ce pas ?
You're not allowed in this room.	Vous n'êtes pas autorisée dans cette pièce.
You're not allowed to eat those.	Vous n'êtes pas autorisée à manger ceux-là.
You're not allowed to swim here.	Tu n'es pas autorisé à nager ici.
You're still single, aren't you?	Vous êtes toujours célibataire, n'est-ce pas ?
You're wasting both of our time.	Tu gaspilles notre temps à tous les deux.
You've got a pretty good memory.	Tu es dotée d'une assez bonne mémoire.
Your English has improved a lot.	Ton anglais s'est grandement amélioré.
Your car has a broken taillight.	Votre voiture a un feu arrière de cassé.
Your mother and father are dead.	Votre père et votre mère sont morts.
Your privacy is important to us.	Votre vie privée nous est importante.
Your team is stronger than ours.	Ton équipe est meilleure que la nôtre.
May I go with you? "Of course."	«Puis-je venir avec toi ?» «Bien sûr !»
A crowd was gathering around him.	Une foule commençait à se former autour de lui.
A lot of people hate you already.	De nombreuses personnes vous détestent déjà.
A sin confessed is half forgiven.	Péché avoué est à moitié pardonné.
About how much money do you need?	D'à peu près combien d'argent as-tu besoin ?
All the parking spots were taken.	Toutes les places de parking étaient prises.
Almost all the doors were closed.	Presque toutes les portes étaient fermées.
Are these the only ones you have?	Sont-ce là les seules que vous ayez ?
Are you giving me another chance?	Me donnes-tu une autre chance ?
Are you lazy or just incompetent?	Êtes-vous fainéant ou simplement incompétent ?
Are you sure this is a good idea?	Êtes-vous sûrs que ce soit une bonne idée ?
Are you sure you can handle this?	Êtes-vous sûr de pouvoir gérer ceci ?
Are you tired of waiting in line?	Es-tu fatigué de faire la queue ?
Ask at the police box over there.	Demandez à la guérite là-bas.
Be careful not to drink too much.	Fais attention à ne pas trop boire !
Both Tom and Mary work full time.	Tom et Marie travaillent tous les deux à temps plein.
Can I ask you something personal?	Puis-je vous demander quelque chose de personnel ?
Can I go swimming this afternoon?	Puis-je aller nager cet après-midi ?
Can my friend sleep over tonight?	Mon ami peut-il rester dormir ce soir ?
Can you give me your cell number?	Peux-tu me donner ton numéro de portable ?
Can you take Tom to the hospital?	Est-ce que tu peux emmener Tom à l'hôpital ?
Can't you tell me how to do this?	Ne peux-tu pas me dire comment faire ça ?
Cigarette smoke bothers me a lot.	La fumée de cigarette m'incommode beaucoup.
Could I talk to you for a minute?	Puis-je vous parler une minute ?
Could you download a file for me?	Peux-tu me télécharger un fichier ?
DNA tests showed he was innocent.	Les examens ADN ont montré qu'il était innocent.
Did you already do your homework?	Avez-vous déjà fait vos devoirs ?
Did you live in Boston last year?	Vivais-tu à Boston l'année dernière ?
Didn't you write a letter to him?	Ne lui as-tu pas écrit une lettre ?
Do you ever study in the library?	Est-ce que tu étudies à la bibliothèques des fois ?
Do you have anything else to add?	As-tu autre chose à ajouter ?
Do you have the key to this room?	Avez-vous les clés de cette pièce ?
Do you know how to speak English?	Sais-tu parler anglais ?
Do you know where they come from?	Savez-vous d'où ils viennent ?
Do you like going to the library?	Aimes-tu aller à la bibliothèque ?
Do you mind waiting for a minute?	Est-ce que cela vous dérange d'attendre une minute ?
Do you really think Tom is happy?	Pensez-vous vraiment que Tom est heureux ?
Do you remember your grandfather?	Vous rappelez-vous votre grand-père ?
Do you still have Tom's umbrella?	As-tu encore le parapluie de Tom ?
Do you think it'll stay that way?	Penses-tu qu'il restera comme ça ?
Do you want another one of these?	Voulez-vous encore l'une de celles-ci ?
Do you want sugar in your coffee?	Voulez-vous du sucre dans votre café ?
Do you want to know what I think?	Veux-tu savoir ce que je pense ?
Do you want to take a look at it?	Est-ce que tu veux y jeter un œil ?
Doesn't it interest you a little?	Cela ne vous intéresse-t-il pas un peu ?
Don't blame me for your mistakes.	Ne me reprochez pas vos erreurs.
Don't forget to put on sunscreen.	N'oublie pas de mettre de la crème solaire !
Don't let them see you're afraid.	Ne les laissez pas s'apercevoir que vous avez peur !
Don't say it in a roundabout way.	Dites-le sans détour.
Don't waste your time doing that.	Ne perds pas ton temps à faire ça.
Don't you remember what you said?	Ne te souviens-tu pas de ce que tu as dit ?
Don't you see who's following us?	Ne vois-tu pas qui nous suit ?
Dust had accumulated on the desk.	La poussière s'était accumulée sur le bureau.
Even a teacher can make mistakes.	Même un professeur peut faire des erreurs.
Everybody plays the game of love.	Tout le monde joue au jeu de l'amour.
Everyone started talking at once.	Tout le monde s'est mis à parler en même temps.
Excess of politeness is annoying.	L'excès de politesse est ennuyeux.
Father wants to make me a doctor.	Père veut que je sois médecin.
For my part, I have no objection.	Pour ma part, je n'ai pas d'objection.
Give me liberty or give me death.	Donne-moi la liberté ou donne-moi la mort.
Go away before they see you here.	Éloignez-vous avant qu'ils ne vous voient ici.
Have a good look at this picture.	Regarde bien cette photo.
Have you decoded the message yet?	As-tu enfin décodé le message ?
Have you ever eaten a banana pie?	Tu as déjà mangé de la tarte à la banane ?
Have you heard the latest rumors?	As-tu entendu les dernières rumeurs ?
He advertised his house for sale.	Il fit de la publicité pour sa maison en vente.
He asked me where my uncle lived.	Il me demanda où vivait mon oncle.
He calculated the speed of light.	Il calcula la vitesse de la lumière.
He collected various information.	Il a amassé différentes informations.
He cut down a tree in his garden.	Il a coupé un arbre dans le jardin.
He did the work against his will.	Il a accompli sa tâche sans entrain.
He doesn't have any real friends.	Il n'a aucun véritable ami.
He gave body and soul to his job.	Il s'est donné corps et âme à son travail.
He had no memory of the accident.	Il n'avait aucun souvenir de l'accident.
He has been sick for a long time.	Il a été longtemps malade.
He has the same camera as I have.	Il a le même appareil photo que moi.
He is a man who loves ceremonies.	C'est un homme qui adore les cérémonies.
He is beginning to lose his hair.	Il commence à perdre ses cheveux.
He is nothing more than a coward.	Il n'est rien d'autre qu'un lâche.
He is the last man I want to see.	C'est bien la dernière personne que je veux voir.
He keeps making the same mistake.	Il fait constamment la même erreur.
He leaped over the shallow ditch.	Il sauta par-dessus le fossé peu profond.
He lived in Ankara for six years.	Il a vécu à Ankara pendant six ans.
He made up his mind to marry her.	Il se fit à l'idée de l'épouser.
He often drives his father's car.	Il conduit souvent la voiture de son père.
He promised to pay us high wages.	Il a promis de nous payer des salaires élevés.
He ran through the streets naked.	Il a couru nu à travers les rues.
He sacrificed everything for you.	Il vous a tout sacrifié.
He sent the letter back unopened.	Il renvoya la lettre sans l'ouvrir.
He speaks English better than me.	Il parle mieux l'anglais que moi.
He thinks of nothing but himself.	Il ne pense à rien d'autre qu'à lui-même.
He took no notice of our warning.	Il a ignoré notre avertissement.
He wants to get a new dictionary.	Il veut se procurer un nouveau dictionnaire.
He was banished from the kingdom.	Il fut banni du royaume.
He was the last person to arrive.	Il fut le dernier à arriver.
He went to see her the other day.	Il est allé la voir l'autre jour.
He works for an American company.	Il travaille pour une société étasunienne.
He'll finish the job by tomorrow.	Il finira le travail pour demain.
He's not at all afraid of snakes.	Il n'a pas du tout peur des serpents.
